name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2013-01-01,AED,12.0,3.67305,3.2670396536938,-0.25195,-0.33025,-0.23096,-0.07027,0.27014,,,,,,,
Argentina,2013-01-01,ARS,19.0,4.9765,3.81794433839044,-0.12581,-0.21732,-0.10128,0.0865,0.48432,10959.082,3.25614714607385,0.316,0.091,0.237,0.599,0.373
Australia,2013-01-01,AUD,4.7,0.959094615,4.90045499838408,0.12205,0.0046,0.15354,0.39456,0.90517,66371.218,5.69545440989134,-0.034,-0.199,-0.092,0.174,0.008
Brazil,2013-01-01,BRL,11.25,1.99335,5.64376552035518,0.29225,0.15698,0.32851,0.60609,1.19415,12788.551,3.33668251869744,0.898,0.574,0.785,1.307,0.981
Canada,2013-01-01,CAD,5.41,1.0029,5.39435636653704,0.23514,0.10585,0.2698,0.53512,1.09719,50496.043,4.99661057373469,0.212,0.005,0.139,0.473,0.264
Switzerland,2013-01-01,CHF,6.5,0.9123,7.12484928203442,0.63137,0.4606,0.67715,1.02758,1.76996,83072.845,6.43067963309281,0.243,0.031,0.169,0.511,0.297
Chile,2013-01-01,CLP,2050.0,471.75,4.34552199258082,-0.00501,-0.10916,0.02291,0.23664,0.68943,14403.111,3.40775734490282,0.431,0.187,0.345,0.739,0.493
China,2013-01-01,CNY,16.0,6.2204,2.57218185325703,-0.41105,-0.4727,-0.39452,-0.26801,0.0,5416.668,3.0121635766752,-0.042,-0.205,-0.099,0.165,0.0
Colombia,2013-01-01,COP,8600.0,1773.175,4.85005710096296,0.11051,-0.00573,0.14168,0.38022,0.88558,7114.33,3.08689665045721,0.763,0.462,0.658,1.143,0.84
Costa Rica,2013-01-01,CRC,2200.0,500.83,4.3927081045464496,0.0058,-0.09949,0.03402,0.25007,0.70778,,,,,,,
Czech Republic,2013-01-01,CZK,70.33,18.89495,3.72215856617774,-0.14774,-0.23695,-0.12382,0.05924,0.44708,20435.875,3.67332669682415,0.137,-0.057,0.069,0.382,0.187
Denmark,2013-01-01,DKK,28.5,5.49795,5.18375030693258,0.18692,0.06267,0.22023,0.47518,1.01531,59708.962,5.40217408129668,0.077,-0.107,0.012,0.309,0.124
Egypt,2013-01-01,EGP,16.0,6.68575,2.39314960924354,-0.45204,-0.5094,-0.43667,-0.31896,-0.0696,2931.827,2.90277795940299,-0.075,-0.233,-0.13,0.125,-0.035
Euro area,2013-01-01,EUR,3.594849572,0.736946829,4.87803112862027,0.11692,0.0,0.14826,0.38818,0.89646,40137.01059,4.54059380867381,0.206,0.0,0.134,0.465,0.258
United Kingdom,2013-01-01,GBP,2.69,0.633211968,4.24818249802884,-0.0273,-0.12912,0.0,0.20894,0.65159,38811.424,4.48223993114405,0.064,-0.118,0.0,0.293,0.11
Hong Kong,2013-01-01,HKD,17.0,7.7591,2.19097575749765,-0.49833,-0.55085,-0.48426,-0.3765,-0.1482,34259.337,4.28185171862994,-0.426,-0.524,-0.46,-0.302,-0.401
Hungary,2013-01-01,HUF,830.0,217.46935,3.81662979173847,-0.12611,-0.21759,-0.10159,0.08613,0.48381,14050.009,3.39221338042781,0.263,0.047,0.187,0.535,0.318
Indonesia,2013-01-01,IDR,27939.0,9767.5,2.86040440235475,-0.34505,-0.41361,-0.32668,-0.18599,0.11205,3511.799,2.9283090075548,0.096,-0.091,0.031,0.332,0.144
India,2013-01-01,INR,89.0,53.395,1.66682273621126,-0.61835,-0.6583,-0.60764,-0.52566,-0.35198,1513.618,2.84034673467432,-0.341,-0.454,-0.381,-0.2,-0.313
Israel,2013-01-01,ILS,14.9,3.72455,4.00048327985931,-0.08401,-0.1799,-0.05831,0.13845,0.55529,32350.817,4.19783642820437,0.069,-0.113,0.005,0.3,0.116
Japan,2013-01-01,JPY,320.0,91.065,3.51397353538681,-0.19541,-0.27963,-0.17283,0.0,0.36615,45869.72,4.79295440536995,-0.177,-0.318,-0.226,0.0,-0.141
South Korea,2013-01-01,KRW,3700.0,1085.475,3.40864598447684,-0.21952,-0.30123,-0.19762,-0.02997,0.3252,22424.062,3.7608490220947,0.017,-0.156,-0.044,0.236,0.061
