name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2019-01-01,AED,14.0,3.67315,3.81144249486136,-0.31695,-0.17891,-0.06422,0.05978,0.24915,,,,,,,
Argentina,2019-01-01,ARS,75.0,37.455,2.00240288346015,-0.64115,-0.56862,-0.50837,-0.44323,-0.34374,14462.92,3.16521135582918,-0.419,-0.434,-0.338,-0.261,-0.396
Australia,2019-01-01,AUD,6.1,1.40163991870488,4.35204500000001,-0.22006,-0.06244,0.06851,0.21009,0.42633,55692.73,4.94527277131018,-0.192,-0.213,-0.08,0.028,-0.16
Azerbaijan,2019-01-01,AZN,3.95,1.6965,2.32832301797819,-0.58274,-0.49841,-0.42835,-0.35261,-0.23692,,,,,,,
Brazil,2019-01-01,BRL,16.9,3.71795,4.54551567396011,-0.18539,-0.02077,0.11601,0.26389,0.48973,9895.765,2.96802838569128,0.406,0.37,0.601,0.789,0.463
Canada,2019-01-01,CAD,6.77,1.3314,5.08487306594562,-0.08873,0.09543,0.24844,0.41386,0.6665,45094.605,4.4877078834549,0.04,0.013,0.185,0.323,0.082
Switzerland,2019-01-01,CHF,6.5,0.98165,6.6215046095859,0.18665,0.42646,0.62571,0.84112,1.17011,80637.381,6.02223652078513,0.009,-0.017,0.15,0.284,0.05
Chile,2019-01-01,CLP,2640.0,678.99,3.88812795475633,-0.3032,-0.16239,-0.04539,0.0811,0.27428,15067.724,3.19132324585071,0.118,0.09,0.274,0.423,0.164
China,2019-01-01,CNY,20.9,6.8497,3.05122852095712,-0.45318,-0.34268,-0.25086,-0.1516,0.0,8643.107,2.91394595910252,-0.039,-0.063,0.095,0.223,0.0
Colombia,2019-01-01,COP,11900.0,3191.5,3.72865423781921,-0.33178,-0.19674,-0.08454,0.03676,0.22202,6379.606,2.81622125957074,0.215,0.184,0.384,0.546,0.264
Costa Rica,2019-01-01,CRC,2290.0,606.975,3.77280777626756,-0.32387,-0.18723,-0.0737,0.04903,0.23649,,,,,,,
Czech Republic,2019-01-01,CZK,85.0,22.31165,3.80966893976913,-0.31726,-0.17929,-0.06465,0.05928,0.24857,20401.577,3.42160773954951,0.022,-0.004,0.164,0.301,0.063
