name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2014-01-01,AED,12.0,3.673,3.26708412741628,-0.29348,-0.34156,-0.29388,0.09864,0.19097,,,,,,,
Argentina,2014-01-01,ARS,21.0,6.92125,3.03413400758534,-0.34385,-0.38851,-0.34423,0.0203,0.10605,10959.082,3.13614862875954,0.026,-0.12,-0.069,0.557,0.014
Australia,2014-01-01,AUD,5.05,1.128859288,4.47354249877067,-0.03257,-0.09841,-0.03312,0.50434,0.63077,66371.218,5.75624567072972,-0.176,-0.293,-0.252,0.251,-0.186
Brazil,2014-01-01,BRL,12.4,2.36305,5.24745561879774,0.13479,0.05756,0.13414,0.76458,0.91289,12788.551,3.22265289770301,0.727,0.482,0.567,1.621,0.706
Canada,2014-01-01,CAD,5.54,1.1051,5.01312098452629,0.08411,0.01033,0.0835,0.68578,0.82746,50496.043,5.00560687459562,0.062,-0.089,-0.036,0.612,0.049
Switzerland,2014-01-01,CHF,6.5,0.91005,7.14246469974177,0.54459,0.43948,0.54372,1.40183,1.60369,83072.845,6.54596226816948,0.157,-0.007,0.05,0.756,0.143
Chile,2014-01-01,CLP,2000.0,541.95,3.69037734108313,-0.20194,-0.25625,-0.20239,0.24098,0.34528,14403.111,3.29899544981259,0.186,0.018,0.077,0.801,0.172
China,2014-01-01,CNY,16.6,6.0513,2.74321220233669,-0.40677,-0.44714,-0.4071,-0.07753,0.0,5416.668,2.87408216507415,0.012,-0.131,-0.081,0.536,0.0
Colombia,2014-01-01,COP,8600.0,1982.795,4.33731172410663,-0.06203,-0.12587,-0.06257,0.45853,0.58111,7114.33,2.95435409655979,0.557,0.336,0.413,1.363,0.538
Costa Rica,2014-01-01,CRC,2150.0,501.92,4.28355116353204,-0.07366,-0.1367,-0.07419,0.44045,0.56151,,,,,,,
Czech Republic,2014-01-01,CZK,70.45,20.2838,3.47321507804258,-0.2489,-0.30002,-0.24933,0.16795,0.26611,20435.875,3.5842475308965,0.027,-0.118,-0.067,0.56,0.015
Denmark,2014-01-01,DKK,28.5,5.5014,5.18049950921584,0.12031,0.04407,0.11967,0.74207,0.88848,59708.962,5.44122880802571,0.01,-0.134,-0.084,0.533,-0.002
Egypt,2014-01-01,EGP,16.93,6.961,2.43212182157736,-0.47404,-0.50984,-0.47434,-0.18214,-0.1134,2931.827,2.75658940944628,-0.064,-0.197,-0.151,0.42,-0.076
Euro area,2014-01-01,EUR,3.657962724,0.737218475,4.96184353491684,0.07302,0.0,0.07241,0.66854,0.80877,40137.01059,4.51579232972563,0.165,0.0,0.058,0.769,0.151
United Kingdom,2014-01-01,GBP,2.79,0.603009015,4.62679649988317,0.00057,-0.06752,0.0,0.55587,0.68663,38811.424,4.4531135421161,0.102,-0.054,0.0,0.672,0.089
