name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2011-07-01,AED,12.0,3.67305,3.2670396536938,-0.1963,-0.3371,-0.1605,-0.19993,0.43727,,,,,,,
Argentina,2011-07-01,ARS,20.0,4.1325,4.83968542044767,0.19057,-0.018,0.24361,0.18519,1.12913,9138.177,3.14975655201764,1.011,0.475,0.85,0.906,0.946
Australia,2011-07-01,AUD,4.56,0.922381589,4.94372400141217,0.21617,0.00311,0.27035,0.21067,1.1749,55589.549,5.79252618698381,0.117,-0.181,0.027,0.059,0.081
Brazil,2011-07-01,BRL,9.5,1.5416,6.16242864556305,0.51597,0.25039,0.58351,0.50912,1.71105,10816.487,3.24524106657751,1.485,0.823,1.286,1.356,1.405
Canada,2011-07-01,CAD,4.73,0.94585,5.00079293756938,0.23021,0.01469,0.28501,0.22465,1.20001,46214.914,5.25917271107591,0.244,-0.087,0.145,0.18,0.204
Switzerland,2011-07-01,CHF,6.5,0.80615,8.06301556782237,0.98352,0.63603,1.07188,0.97456,2.54718,67245.997,6.45569942599949,0.635,0.199,0.504,0.55,0.582
Chile,2011-07-01,CLP,1850.0,462.75,3.99783900594273,-0.01652,-0.18882,0.02729,-0.02097,0.75878,11827.958,3.30278694155078,0.584,0.162,0.457,0.502,0.533
China,2011-07-01,CNY,14.65,6.445,2.27307990690458,-0.44082,-0.53878,-0.41591,-0.44334,0.0,4382.136,2.87916991062728,0.033,-0.242,-0.05,-0.021,0.0
Colombia,2011-07-01,COP,8400.0,1770.5,4.74442247952556,0.16714,-0.03733,0.21913,0.16186,1.08722,6273.372,2.98676847786346,1.079,0.525,0.912,0.971,1.012
Costa Rica,2011-07-01,CRC,2050.0,504.305,4.06500034701222,0.0,-0.17519,0.04455,-0.00452,0.78832,,,,,,,
Czech Republic,2011-07-01,CZK,69.32,17.0219,4.07240084831893,0.00182,-0.17369,0.04645,-0.00271,0.79158,18288.284,3.67033589973403,0.452,0.065,0.336,0.377,0.405
Denmark,2011-07-01,DKK,28.5,5.19845,5.48240340870837,0.34868,0.11241,0.40877,0.34259,1.41188,56147.143,5.82424952320388,0.232,-0.096,0.133,0.168,0.192
Egypt,2011-07-01,EGP,14.09,5.962,2.36330090573633,-0.41862,-0.52047,-0.39272,-0.42125,0.03969,2788.829,2.78852149320747,0.109,-0.186,0.02,0.051,0.073
Euro area,2011-07-01,EUR,3.437660401,0.697520315,4.92840183586624,0.2124,0.0,0.26641,0.20692,1.16816,36947.0,4.7318909399653,0.363,0.0,0.254,0.292,0.319
United Kingdom,2011-07-01,GBP,2.39,0.614137444,3.89163699974627,-0.04265,-0.21037,0.0,-0.04697,0.71205,36119.846,4.6848314586083,0.087,-0.202,0.0,0.031,0.052
Hong Kong,2011-07-01,HKD,15.1,7.7918,1.93793475191868,-0.52326,-0.60678,-0.50203,-0.52542,-0.14744,31590.681,4.42715253076626,-0.427,-0.58,-0.473,-0.457,-0.446
Hungary,2011-07-01,HUF,760.0,188.0724,4.04099697775963,-0.0059,-0.18006,0.03838,-0.0104,0.77776,12879.296,3.36260097982044,0.573,0.154,0.447,0.491,0.522
