name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2017-01-01,AED,13.0,3.673,3.5393411380343,-0.30053,-0.12862,-0.05071,0.08662,0.2508,,,,,,,
Argentina,2017-01-01,ARS,55.0,15.8575,3.46839035156866,-0.31455,-0.14609,-0.06974,0.06484,0.22572,13588.846,3.02291141594315,0.063,0.083,0.296,0.327,0.136
Australia,2017-01-01,AUD,5.8,1.356668023,4.27518000105469,-0.1551,0.05254,0.14665,0.31254,0.51084,50961.865,4.49562658250832,-0.119,-0.103,0.074,0.1,-0.058
Brazil,2017-01-01,BRL,16.5,3.22395,5.11794537756479,0.01145,0.26003,0.37269,0.57128,0.80867,8669.998,2.82908008399674,0.676,0.707,1.044,1.093,0.792
Canada,2017-01-01,CAD,5.98,1.326,4.50980392156863,-0.10873,0.1103,0.20958,0.38457,0.59376,43331.961,4.19496381453027,-0.004,0.014,0.215,0.243,0.065
Switzerland,2017-01-01,CHF,6.5,1.0236,6.35013677217663,0.25497,0.56339,0.70318,0.94958,1.24413,80675.308,5.66650973104309,0.038,0.057,0.266,0.296,0.11
Chile,2017-01-01,CLP,2450.0,672.805,3.64147115434636,-0.28034,-0.10348,-0.02331,0.11798,0.28689,13340.905,3.01314109283617,0.119,0.14,0.365,0.398,0.197
China,2017-01-01,CNY,19.6,6.9266,2.82967112291745,-0.44078,-0.30334,-0.24105,-0.13125,0.0,7989.72,2.80227315870979,-0.065,-0.047,0.141,0.168,0.0
Colombia,2017-01-01,COP,9900.0,2994.625,3.30592311224277,-0.34666,-0.18609,-0.11331,0.01496,0.16831,6083.51,2.72715735450735,0.123,0.144,0.37,0.402,0.2
Costa Rica,2017-01-01,CRC,2250.0,554.33,4.05895405264012,-0.19784,-0.0007,0.08866,0.24615,0.43443,,,,,,,
Czech Republic,2017-01-01,CZK,75.0,25.81175,2.90565343302953,-0.42576,-0.28464,-0.22067,-0.10793,0.02685,17256.918,3.16745487031201,-0.15,-0.134,0.036,0.061,-0.092
Denmark,2017-01-01,DKK,30.0,7.10125,4.22460834360148,-0.1651,0.04009,0.13309,0.29701,0.49297,52114.165,4.54103393069267,-0.138,-0.122,0.051,0.076,-0.079
Egypt,2017-01-01,EGP,27.49,18.77,1.46457112413426,-0.71056,-0.63943,-0.60718,-0.55036,-0.48242,3740.249,2.63481918900028,-0.485,-0.475,-0.372,-0.357,-0.45
Euro area,2017-01-01,EUR,3.88,0.955246692,4.06177800194884,-0.19728,0.0,0.08942,0.24702,0.43542,34142.38535,3.83284087674853,-0.018,0.0,0.197,0.226,0.049
United Kingdom,2017-01-01,GBP,3.09,0.82877507,3.72839400200588,-0.26316,-0.08208,0.0,0.14467,0.31761,43770.688,4.21225222002092,-0.18,-0.165,0.0,0.024,-0.123
Hong Kong,2017-01-01,HKD,19.2,7.75595,2.47551879524752,-0.51077,-0.39053,-0.33604,-0.23998,-0.12516,42389.63,4.15783047093755,-0.449,-0.438,-0.327,-0.311,-0.41
Hungary,2017-01-01,HUF,900.0,294.6172,3.05481146382492,-0.39628,-0.24791,-0.18066,-0.06213,0.07956,12239.894,2.96975483072406,-0.047,-0.029,0.162,0.19,0.019
Indonesia,2017-01-01,IDR,31000.0,13329.0,2.32575587065796,-0.54036,-0.4274,-0.3762,-0.28596,-0.17808,3362.357,2.61992803772017,-0.178,-0.162,0.003,0.027,-0.121
India,2017-01-01,INR,170.0,68.3275,2.48801726976693,-0.5083,-0.38746,-0.33268,-0.23615,-0.12074,1617.309,2.55116295732931,-0.097,-0.08,0.102,0.128,-0.034
Israel,2017-01-01,ILS,16.9,3.855,4.38391699092088,-0.13361,0.07931,0.17582,0.34592,0.54927,35343.336,3.88016534460999,0.046,0.066,0.276,0.307,0.119
Japan,2017-01-01,JPY,380.0,116.665,3.25718938841983,-0.35629,-0.19809,-0.12638,0.0,0.15108,32485.545,3.76755169280484,-0.199,-0.184,-0.023,0.0,-0.144
South Korea,2017-01-01,KRW,4400.0,1196.45,3.67754607380166,-0.27321,-0.0946,-0.01364,0.12906,0.29964,27195.197,3.55908109170066,-0.043,-0.025,0.167,0.195,0.023
Sri Lanka,2017-01-01,LKR,550.0,150.06,3.66520058643209,-0.27565,-0.09764,-0.01695,0.12526,0.29527,,,,,,,
Mexico,2017-01-01,MXN,49.0,21.9505,2.23229539190451,-0.55883,-0.45041,-0.40127,-0.31466,-0.21111,9009.28,2.84244977583626,-0.273,-0.259,-0.113,-0.092,-0.222
Malaysia,2017-01-01,MYR,8.0,4.4715,1.78910880017891,-0.64642,-0.55953,-0.52014,-0.45072,-0.36773,9556.774,2.86402423620842,-0.421,-0.411,-0.294,-0.277,-0.381
Norway,2017-01-01,NOK,49.0,8.64835,5.66582064786925,0.11973,0.39491,0.51964,0.73948,1.00229,74822.106,5.43585939588099,-0.035,-0.016,0.178,0.206,0.032
New Zealand,2017-01-01,NZD,6.0,1.43358899,4.18530000010673,-0.17287,0.03041,0.12255,0.28494,0.47908,37044.891,3.94721654684883,-0.018,0.001,0.198,0.226,0.05
