name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2005-06-01,AED,9.0,3.6725,2.45064669843431,-0.19914,-0.31606,-0.28769,0.04608,0.93167,,,,,,,
Argentina,2005-06-01,ARS,4.75,2.897,1.6396272005523,-0.46417,-0.5424,-0.52342,-0.30011,0.2924,,,,,,,
Australia,2005-06-01,AUD,3.25,1.3015,2.49711870918171,-0.18395,-0.30309,-0.27418,0.06592,0.9683,,,,,,,
Brazil,2005-06-01,BRL,5.9,2.4648,2.39370334307043,-0.21774,-0.33195,-0.30424,0.02178,0.88679,,,,,,,
Canada,2005-06-01,CAD,3.28,1.2494,2.62526012485993,-0.14207,-0.26733,-0.23693,0.12062,1.06931,,,,,,,
Switzerland,2005-06-01,CHF,6.3,1.2475,5.0501002004008,0.65036,0.40941,0.46788,1.15569,2.98063,,,,,,,
Chile,2005-06-01,CLP,1500.0,592.45,2.53185922862689,-0.1726,-0.29339,-0.26408,0.08075,0.99568,,,,,,,
China,2005-06-01,CNY,10.5,8.2764,1.26866753661012,-0.5854,-0.64593,-0.63124,-0.45846,0.0,,,,,,,
Colombia,2005-06-01,COP,6500.0,2327.7,2.79245607251794,-0.08743,-0.22067,-0.18833,0.19199,1.20109,,,,,,,
Costa Rica,2005-06-01,CRC,1130.0,475.3,2.3774458236903,-0.22306,-0.33649,-0.30896,0.01484,0.87397,,,,,,,
Czech Republic,2005-06-01,CZK,56.42,24.5409,2.29901918837532,-0.24869,-0.35838,-0.33176,-0.01864,0.81215,,,,,,,
Denmark,2005-06-01,DKK,27.75,6.0647,4.57565914224941,0.49531,0.277,0.32998,0.95317,2.60667,,,,,,,
Egypt,2005-06-01,EGP,9.0,5.8,1.55172413793103,-0.4929,-0.56694,-0.54897,-0.33763,0.22311,,,,,,,
Euro area,2005-06-01,EUR,2.92,0.814929509,3.58313199823029,0.17096,0.0,0.04149,0.5295,1.82433,,,,,,,
United Kingdom,2005-06-01,GBP,1.88,0.546448087,3.44040000271792,0.12431,-0.03983,0.0,0.46857,1.71182,,,,,,,
Hong Kong,2005-06-01,HKD,12.0,7.7807,1.54227768709756,-0.49599,-0.56957,-0.55172,-0.34166,0.21567,,,,,,,
Hungary,2005-06-01,HUF,530.0,203.643,2.6025937547571,-0.14948,-0.27365,-0.24352,0.11094,1.05144,,,,,,,
Indonesia,2005-06-01,IDR,14600.0,9545.0,1.5295966474594,-0.50013,-0.57311,-0.5554,-0.34708,0.20567,,,,,,,
Japan,2005-06-01,JPY,250.0,106.715,2.34268846928735,-0.23442,-0.34619,-0.31907,0.0,0.84657,,,,,,,
South Korea,2005-06-01,KRW,2500.0,1005.5,2.48632521133764,-0.18748,-0.3061,-0.27732,0.06131,0.95979,,,,,,,
Sri Lanka,2005-06-01,LKR,175.0,99.945,1.75096302966632,-0.42779,-0.51133,-0.49106,-0.25258,0.38016,,,,,,,
Mexico,2005-06-01,MXN,28.0,10.8675,2.57648953301127,-0.15801,-0.28094,-0.25111,0.0998,1.03086,,,,,,,
Malaysia,2005-06-01,MYR,5.25,3.8,1.38157894736842,-0.5485,-0.61442,-0.59842,-0.41026,0.089,,,,,,,
Norway,2005-06-01,NOK,39.0,6.4326,6.06286726984423,0.98133,0.69206,0.76226,1.588,3.77893,,,,,,,
New Zealand,2005-06-01,NZD,4.45,1.4023,3.17335805462455,0.03705,-0.11436,-0.07762,0.35458,1.50133,,,,,,,
Pakistan,2005-06-01,PKR,130.0,59.62,2.18047635021805,-0.28743,-0.39146,-0.36621,-0.06924,0.71871,,,,,,,
Peru,2005-06-01,PEN,8.99,3.2546,2.76224420819763,-0.09731,-0.2291,-0.19712,0.17909,1.17728,,,,,,,
Philippines,2005-06-01,PHP,80.0,54.55,1.46654445462878,-0.52074,-0.59071,-0.57373,-0.37399,0.15597,,,,,,,
Poland,2005-06-01,PLN,6.5,3.3096,1.96398356296833,-0.35818,-0.45188,-0.42914,-0.16165,0.54807,,,,,,,
Russia,2005-06-01,RUB,42.0,28.4055,1.47858689338332,-0.5168,-0.58735,-0.57023,-0.36885,0.16546,,,,,,,
Saudi Arabia,2005-06-01,SAR,9.0,3.7501,2.39993600170662,-0.21571,-0.33021,-0.30243,0.02444,0.8917,,,,,,,
Sweden,2005-06-01,SEK,31.0,7.4402,4.16655466250907,0.36162,0.16282,0.21107,0.77854,2.2842,,,,,,,
Thailand,2005-06-01,THB,60.0,40.53,1.48038490007402,-0.51621,-0.58685,-0.56971,-0.36808,0.16688,,,,,,,
Turkey,2005-06-01,TRY,4.0,1.369,2.9218407596786,-0.04515,-0.18456,-0.15073,0.24722,1.30308,,,,,,,
Taiwan,2005-06-01,TWD,75.0,31.175,2.40577385725742,-0.2138,-0.32858,-0.30073,0.02693,0.8963,,,,,,,
Ukraine,2005-06-01,UAH,7.25,5.06,1.43280632411067,-0.53176,-0.60012,-0.58353,-0.38839,0.12938,,,,,,,
Uruguay,2005-06-01,UYU,44.0,24.125,1.82383419689119,-0.40398,-0.49099,-0.46988,-0.22148,0.4376,,,,,,,
United States of America,2005-06-01,USD,3.06,1.0,3.06,0.0,-0.146,-0.11057,0.30619,1.41198,,,,,,,
South Africa,2005-06-01,ZAR,13.95,6.6482,2.09831232514064,-0.31428,-0.41439,-0.3901,-0.10431,0.65395,,,,,,,
Andorra,2005-06-01,EUR,2.92,0.814929509,3.58313199823029,0.17096,0.0,0.04149,0.5295,1.82433,,,,,,,
Spain,2005-06-01,EUR,2.92,0.814929509,3.58313199823029,0.17096,0.0,0.04149,0.5295,1.82433,,,,,,,
