name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2010-01-01,AED,11.0,3.673,2.99482711679826,-0.16346,-0.38174,-0.18427,-0.14329,0.6357,,,,,,,
Argentina,2010-01-01,ARS,7.0,3.7985,1.84283269711728,-0.48524,-0.61956,-0.49805,-0.47283,0.00651,,,,,,,
Australia,2010-01-01,AUD,4.35,1.09355,3.97787023912944,0.11114,-0.1788,0.0835,0.13792,1.17262,,,,,,,
Brazil,2010-01-01,BRL,8.2,1.7233,4.75831253989439,0.32914,-0.01768,0.29607,0.36117,1.59888,,,,,,,
Canada,2010-01-01,CAD,4.12,1.0368,3.97376543209877,0.10999,-0.17964,0.08238,0.13675,1.17038,,,,,,,
Switzerland,2010-01-01,CHF,6.5,1.03115,6.30364156524269,0.76079,0.30134,0.71699,0.80324,2.4429,,,,,,,
Chile,2010-01-01,CLP,1600.0,503.1,3.18028225004969,-0.11165,-0.34345,-0.13375,-0.09024,0.73699,,,,,,,
China,2010-01-01,CNY,12.5,6.8272,1.83091164752754,-0.48857,-0.62202,-0.50129,-0.47624,0.0,,,,,,,
Colombia,2010-01-01,COP,8200.0,2095.6,3.91296048864287,0.09301,-0.1922,0.06582,0.11935,1.13717,,,,,,,
Costa Rica,2010-01-01,CRC,2050.0,582.57,3.51889043376762,-0.01707,-0.27355,-0.04152,0.00662,0.92193,,,,,,,
Czech Republic,2010-01-01,CZK,67.64,18.21005,3.7144324150675,0.03755,-0.23318,0.01174,0.06256,1.02873,,,,,,,
Denmark,2010-01-01,DKK,30.94,5.16195,5.99385890990808,0.67426,0.23739,0.63261,0.71462,2.2737,,,,,,,
Egypt,2010-01-01,EGP,13.0,5.465,2.37877401646844,-0.33554,-0.50892,-0.35207,-0.31952,0.29923,,,,,,,
Euro area,2010-01-01,EUR,3.36,0.693649638,4.84394399698368,0.35306,0.0,0.3194,0.38567,1.64565,,,,,,,
United Kingdom,2010-01-01,GBP,2.29,0.623752495,3.67132800005874,0.02551,-0.24208,0.0,0.05023,1.00519,,,,,,,
Hong Kong,2010-01-01,HKD,14.8,7.75655,1.90806479684911,-0.46702,-0.60609,-0.48028,-0.45417,0.04214,,,,,,,
Hungary,2010-01-01,HUF,720.0,186.6508,3.85747074215594,0.07751,-0.20365,0.0507,0.10348,1.10686,,,,,,,
Indonesia,2010-01-01,IDR,20900.0,9320.0,2.24248927038627,-0.37361,-0.53705,-0.38919,-0.35851,0.22479,,,,,,,
Israel,2010-01-01,ILS,14.9,3.7325,3.9919624916276,0.11507,-0.17589,0.08733,0.14195,1.18031,,,,,,,
Japan,2010-01-01,JPY,320.0,91.54,3.49573956740223,-0.02354,-0.27833,-0.04783,0.0,0.90929,,,,,,,
South Korea,2010-01-01,KRW,3400.0,1140.5,2.98114861902674,-0.16728,-0.38456,-0.18799,-0.14721,0.62823,,,,,,,
