name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
United Arab Emirates,2012-01-01,AED,12.0,3.673,3.26708412741628,-0.22161,-0.26263,-0.1455,-0.21467,0.33982,,,,,,,
Argentina,2012-01-01,ARS,20.0,4.3135,4.63660600440478,0.10469,0.04647,0.21269,0.11452,0.90146,9138.177,2.99418969628743,0.756,0.496,0.718,0.694,0.762
Australia,2012-01-01,AUD,4.8,0.972337012,4.93656000004245,0.17615,0.11417,0.29115,0.18663,1.02447,55589.549,5.14234622246052,0.088,-0.073,0.065,0.05,0.092
Brazil,2012-01-01,BRL,10.25,1.805,5.6786703601108,0.35296,0.28166,0.48524,0.36501,1.32881,10816.487,3.07180360572032,1.096,0.786,1.051,1.023,1.103
Canada,2012-01-01,CAD,4.73,1.02095,4.63293990890837,0.10381,0.04564,0.21173,0.11364,0.89996,46214.914,4.70881363798184,0.115,-0.05,0.092,0.077,0.119
Switzerland,2012-01-01,CHF,6.5,0.9551,6.805570097372,0.62145,0.536,0.77998,0.63589,1.79095,67245.997,5.68140187927077,0.358,0.157,0.329,0.311,0.363
Chile,2012-01-01,CLP,2050.0,506.05,4.05098310443632,-0.03484,-0.0857,0.05953,-0.02624,0.6613,11827.958,3.11857936144364,0.473,0.255,0.441,0.421,0.478
China,2012-01-01,CNY,15.4,6.3155,2.43844509540021,-0.41903,-0.44965,-0.36223,-0.41386,0.0,4382.136,2.77424526681188,-0.004,-0.151,-0.025,-0.038,0.0
Colombia,2012-01-01,COP,8400.0,1852.15,4.53526982155873,0.08054,0.0236,0.18619,0.09017,0.8599,6273.372,2.86170599791652,0.797,0.531,0.758,0.734,0.803
Costa Rica,2012-01-01,CRC,2050.0,509.54,4.02323664481689,-0.04145,-0.09196,0.05227,-0.03291,0.64992,,,,,,,
Czech Republic,2012-01-01,CZK,70.22,20.36535,3.44801341494254,-0.1785,-0.22179,-0.09818,-0.17118,0.41402,18288.284,3.41733892140035,0.144,-0.025,0.119,0.104,0.148
Denmark,2012-01-01,DKK,31.5,5.86135,5.37418854018272,0.28042,0.21294,0.40561,0.29182,1.20394,56147.143,5.16813231097595,0.179,0.005,0.154,0.138,0.183
Egypt,2012-01-01,EGP,15.5,6.037,2.56750041411297,-0.38829,-0.42052,-0.32848,-0.38284,0.05293,2788.829,2.70056234458846,0.078,-0.082,0.055,0.04,0.082
